감독,평균관객수,흥행지수1,흥행지수2
김한민,"17,613,682",1,13.01721286
윤제균,"14,245,998",0.808694112,10.45184933
최동훈,"12,844,515",0.729080957,9.384257071
장훈,"12,099,971",0.686786118,8.817093993
크리스 벅,"12,021,947",0.68235383,8.757658129
제니퍼 리,"12,021,947",0.68235383,8.757658129
이일형,"9,699,092",0.550400908,6.988202853
조 루소,"9,446,735",0.536065438,6.795967832
안소니 루소,"9,446,735",0.536065438,6.795967832
이상근,"9,426,051",0.534890441,6.780211419
김용화,"9,330,964",0.529488875,6.707777789
조스 웨던,"8,784,683",0.498456656,6.291643585
류승완,"7,691,934",0.436381529,5.45923184
한재림,"7,225,456",0.409882609,5.103888034
장철수,"6,953,800",0.394450847,4.896952017
존 왓츠,"6,946,374",0.394028984,4.891294941
나홍진,"6,878,264",0.390159922,4.839411791
김병서,"6,874,608",0.389952238,4.8366268
이병헌,"6,831,012",0.387475726,4.80341741
이석훈,"6,821,259",0.386921675,4.79598772
이환경,"6,621,383",0.375567417,4.643730002
봉준호,"6,516,494",0.369609064,4.563829991
추창민,"6,423,775",0.364342025,4.493200333
조의석,"6,323,544",0.358648295,4.416848849
황동혁,"6,243,144",0.354081063,4.355603427
김학순,"6,043,458",0.342737627,4.203490824
애너 보든,"5,801,069",0.328968389,4.018848826
라이언 플렉,"5,801,069",0.328968389,4.018848826
콜린 트레보로우,"5,546,792",0.314523837,3.825151038
라이언 쿠글러,"5,398,994",0.30612797,3.712564584
크리스토퍼 놀란,"5,365,506",0.304225624,3.687054609
토드 필립스,"5,255,228",0.297961146,3.603049542
윤종빈,"4,818,870",0.273173234,3.270649917
진모영,"4,801,355",0.27217827,3.257307708
이재규,"4,571,776",0.259136722,3.082423843
박정우,"4,542,084",0.257450027,3.059805696
브라이언 싱어,"4,539,307",0.25729229,3.057690482
크리스토퍼 맥쿼리,"4,498,478",0.254972929,3.026588434
양우석,"4,408,223",0.249845842,2.957835496
이해준,"4,319,302",0.244794563,2.890099126
페이튼 리드,"4,143,874",0.234829136,2.756465271
이계벽,"4,070,891",0.230683265,2.700870196
김성훈,"4,033,824",0.228577635,2.672634229
장창원,"4,018,341",0.227698091,2.660839762
여인영,"3,984,812",0.22579343,2.635298745
알레산드로 칼로니,"3,984,812",0.22579343,2.635298745
강윤성,"3,972,018",0.225066621,2.62555242
장재현,"3,919,369",0.222075823,2.585446571
매튜 본,"3,897,700",0.220844895,2.568940143
조진규,"3,893,216",0.220590194,2.56552467
원신연,"3,855,814",0.218465542,2.537033614
알렉스 커츠먼,"3,689,325",0.209007888,2.410208869
김지훈,"3,688,349",0.208952416,2.409465012
김도영,"3,679,019",0.208422441,2.402358181
김병우,"3,627,572",0.205499924,2.363167967
김주환,"3,622,998",0.205240092,2.359683681
낸시 마이어스,"3,610,642",0.204538192,2.350271387
조범구,"3,562,123",0.201782004,2.313311603
이재한,"3,538,357",0.200431916,2.295207259
리 언크리치,"3,510,017",0.198822052,2.27361939
피트 닥터,"3,508,412",0.198730878,2.272396767
허정,"3,453,844",0.195631068,2.230829103
최성현,"3,417,629",0.193573825,2.203242001
우민호,"3,416,167",0.193490797,2.202128614
조시 쿨리,"3,399,913",0.192567444,2.189746679
박누리,"3,389,035",0.191949504,2.181460265
김광식,"3,330,803",0.188641556,2.137101516
연상호,"3,307,176",0.187299392,2.119103436
김석윤,"3,148,173",0.178266981,1.997981092
앨런 테일러,"3,139,630",0.177781713,1.991473766
쉐인 블랙,"3,065,485",0.173569805,1.934993147
에스펜 샌버그,"3,049,894",0.172684137,1.923116562
맷 리브스,"3,026,522",0.17135643,1.905312351
딘 패리소트,"3,004,647",0.170113819,1.888649254
권수경,"2,982,022",0.168828575,1.871414457
케이트 쇼트랜드,"2,961,507",0.167663192,1.855786971
나현,"2,931,897",0.165981156,1.833231288
김한결,"2,917,213",0.165147011,1.822045619
팀 밀러,"2,863,712",0.162107785,1.781290371
김성수,"2,856,526",0.161699575,1.775816371
조성희,"2,831,931",0.160302451,1.75708129
이석근,"2,820,029",0.159626341,1.748014834
엄유나,"2,812,444",0.159195465,1.742236892
크리스 윌리암스,"2,801,949",0.158599282,1.734242232
김주호,"2,767,286",0.156630203,1.70783738
박훈정,"2,751,910",0.155756763,1.696124765
강형철,"2,736,283",0.154869035,1.684220567
루이스 리테리어,"2,718,227",0.15384334,1.670466247
손용호,"2,714,941",0.153656674,1.667963107
마이클 베이,"2,685,076",0.151960171,1.645213429
가이 리치,"2,677,167",0.15151087,1.639188423
바이론 하워드,"2,661,670",0.150630542,1.627383444
데이빗 예이츠,"2,646,486",0.149767975,1.615816642
허진호,"2,630,709",0.14887176,1.603798624
김정훈,"2,625,686",0.148586422,1.599972309
웨스 볼,"2,618,857",0.14819851,1.594770511
빌 콘돈,"2,605,357",0.147431624,1.584486764
앤드류 스탠튼,"2,601,734",0.147225796,1.581726658
박광현,"2,512,572",0.142160827,1.513806703
타이카 와이티티,"2,483,533",0.140511198,1.491685604
존 파브로,"2,475,689",0.140065656,1.485711001
리치 무어,"2,458,601",0.13909493,1.47269381
변영주,"2,435,211",0.137766229,1.454876267
최원섭,"2,406,232",0.136120038,1.432801253
장준환,"2,391,963",0.135309468,1.421931715
박찬욱,"2,327,900",0.131670282,1.373131149
존 머스커,"2,310,054",0.130656515,1.359536798
론 클레멘츠,"2,310,054",0.130656515,1.359536798
피에르 꼬팽,"2,291,847",0.129622242,1.345667452
올 파커,"2,285,143",0.129241412,1.34056062
마크 웹,"2,271,148",0.128446392,1.329899613
톰 후퍼,"2,267,384",0.128232569,1.327032289
최국희,"2,256,207",0.127597634,1.318517982
딘 데블로이스,"2,253,499",0.127443831,1.316455519
이용주,"2,247,965",0.127129436,1.312239564
요아킴 뢰닝,"2,247,423",0.127098676,1.311827072
이준익,"2,208,722",0.124900203,1.28234611
백운학,"2,192,243",0.1239641,1.269793211
이언희,"2,150,574",0.121597008,1.238051095
리건,"2,146,764",0.121380604,1.235149174
김지운,"2,137,337",0.120845062,1.227967691
임찬상,"2,135,614",0.120747213,1.226655562
후안 안토니오 바요나,"2,123,847",0.120078772,1.217691944
샘 멘데스,"2,098,494",0.118638532,1.198378687
정근섭,"2,095,375",0.118461381,1.196003142
박희곤,"2,087,474",0.118012554,1.189984484
올리비에 메가턴,"2,084,765",0.117858666,1.187920879
정지영,"2,083,079",0.117762909,1.186636808
카일 발다,"2,082,486",0.117729204,1.186184831
스티븐 쿼일,"2,078,492",0.11750232,1.183142365
잭 스나이더,"2,075,175",0.117313912,1.180615865
백,"2,053,947",0.116108007,1.164444991
박대민,"2,044,564",0.115574993,1.157297406
조지 밀러,"2,013,931",0.113834815,1.133962063
루벤 플레셔,"2,012,483",0.11375256,1.132859036
존 카니,"1,994,021",0.112703829,1.118795822
한동욱,"1,979,311",0.111868207,1.107590348
이종석,"1,967,721",0.111209822,1.098761561
정병길,"1,964,410",0.111021736,1.096239377
김현석,"1,952,838",0.110364391,1.087424556
데이미언 셔젤,"1,941,457",0.109717878,1.078754977
데이빗 레이치,"1,928,406",0.108976494,1.068813197
데이빗 소렌,"1,923,748",0.108711875,1.065264733
마크 포스터,"1,918,157",0.10839429,1.061005993
조일형,"1,903,703",0.107573192,1.049995275
박진표,"1,891,993",0.106907989,1.041075077
제임스 완,"1,877,712",0.106096737,1.030196397
이원태,"1,872,330",0.105791006,1.02609661
스콧 데릭슨,"1,856,801",0.104908879,1.014267509
이해영,"1,852,579",0.104669023,1.011051109
조던 필,"1,806,617",0.102058061,0.976038761
J.J. 에이브럼스,"1,795,472",0.101424963,0.967549085
국동석,"1,766,285",0.099766975,0.945315879
최정열,"1,753,043",0.099014716,0.935228286
더그 라이만,"1,748,709",0.098768527,0.931926949
저스틴 린,"1,746,781",0.098659042,0.930458786
문현성,"1,745,898",0.098608835,0.929785518
데스틴 다니엘 크리튼,"1,739,052",0.098219967,0.924570897
이한,"1,732,985",0.097875342,0.919949559
가스 제닝스,"1,729,426",0.097673149,0.917238205
이승준,"1,721,586",0.097227787,0.911266014
강대규,"1,719,592",0.097114515,0.909747067
윤종찬,"1,713,891",0.096790662,0.905404279
리차드 커티스,"1,703,384",0.096193769,0.897400097
배리 소넨필드,"1,701,556",0.096089955,0.896007982
조던 복트-로버츠,"1,685,933",0.09520247,0.884107021
이연우,"1,676,040",0.094640484,0.87657094
톰 맥그라스,"1,667,322",0.094145227,0.869929671
창,"1,661,388",0.093808129,0.865409266
사이몬 J.스미스,"1,661,230",0.093799182,0.865289289
이장훈,"1,658,854",0.093664182,0.863478969
브래드 버드,"1,649,398",0.093127049,0.856276157
한준희,"1,649,360",0.09312489,0.85624721
에릭 다넬,"1,643,967",0.092818534,0.852139044
필감성,"1,638,439",0.092504508,0.84792804
정다원,"1,625,037",0.091743189,0.837718947
김대승,"1,625,006",0.091741428,0.837695332
아니쉬 차간티,"1,617,043",0.091289051,0.831629064
홍원찬,"1,606,353",0.090681819,0.823486242
김봉주,"1,593,694",0.089962707,0.813843135
김민호,"1,593,386",0.089945211,0.813608513
노암 머로,"1,593,116",0.089929873,0.813402838
조규장,"1,588,270",0.089654561,0.809710973
클로이 자오,"1,567,534",0.088476653,0.79391552
정기훈,"1,563,064",0.088222728,0.790510457
돈 홀,"1,561,717",0.088146182,0.789483987
박정배,"1,543,813",0.087129149,0.775845835
F. 게리 그레이,"1,517,707",0.085646181,0.755959609
김형주,"1,509,270",0.085166858,0.749532014
제임스 맨골드,"1,502,404",0.084776835,0.744301904
장유정,"1,497,010",0.084470412,0.740192849
제임스 건,"1,488,397",0.083981148,0.733631946
곽경택,"1,468,444",0.082847699,0.71843267
신카이 마코토,"1,467,070",0.082769639,0.717385912
심성보,"1,466,830",0.082756024,0.717203344
바즈 루어만,"1,445,124",0.081522985,0.700668603
강효진,"1,442,975",0.08140088,0.699031202
김대우,"1,441,964",0.081343477,0.698261445
존 무어,"1,438,056",0.081121478,0.695284491
폴 그린그래스,"1,426,740",0.080478657,0.686664426
조동오,"1,416,053",0.079871568,0.678523508
마이클 그레이시,"1,402,809",0.079119224,0.668434772
로버트 스트롬버그,"1,397,526",0.078819116,0.664410399
장항준,"1,387,599",0.078255199,0.656848418
노동석,"1,387,508",0.07825003,0.656779098
제이크 캐스단,"1,382,969",0.077992186,0.653321474
박인제,"1,362,634",0.076837028,0.637831105
팻티 젠킨스,"1,356,149",0.076468639,0.632891098
임순례,"1,354,373",0.076367732,0.63153796
강우석,"1,354,224",0.076359258,0.631424331
신태라,"1,346,754",0.075934943,0.625734372
홍창표,"1,340,117",0.075557919,0.620678578
피터 잭슨,"1,338,676",0.07547608,0.619581137
피터 손,"1,328,394",0.074891978,0.611748477
개리 쇼어,"1,321,751",0.074514614,0.606688112
이창희,"1,314,274",0.074089873,0.60099244
유하,"1,313,802",0.07406306,0.60063289
김태균,"1,312,482",0.073988076,0.599627368
김홍선,"1,298,053",0.073168439,0.588636253
길예르모 델 토로,"1,292,925",0.072877085,0.584729267
존 추,"1,290,579",0.072743817,0.582942181
더글라스 맥키넌,"1,278,894",0.072080063,0.574041408
김광빈,"1,264,970",0.071289092,0.563434676
김형준,"1,246,185",0.070221984,0.549125033
노덕,"1,240,838",0.06991824,0.545051908
데이비드 F. 샌드버그,"1,233,947",0.069526807,0.539802881
마크 앤드류스,"1,231,024",0.069360743,0.537576005
브렌다 채프먼,"1,231,024",0.069360743,0.537576005
